,name,rating,distance,delivery,pickup,American,Bakeries,Cafes,Chinese,Fast Food,Pizza,Street Vendors
138,Metro Cafeteria and Restaurant,10.0,4250.755365342083,0,0,0,0,0,0,0,0,0
139,NY Halal Food,9.0,14824.82074524649,0,0,0,0,0,0,0,0,1
140,Mr. E's Late Nite,9.0,3841.4033620091727,1,1,0,0,0,0,0,0,0
141,Greek Islands Restaurant,8.0,3838.7248385964494,1,1,0,0,0,0,0,0,0
142,New Chin Chin Wu Restaurant,9.0,6754.291450378761,0,0,0,0,0,1,0,0,0
143,Jong Kak,8.0,801.0604079916147,1,1,0,0,0,0,0,0,0
144,Neighbors,7.0,5799.486229150493,1,1,0,0,0,0,0,0,0
145,Mercurio’s,8.0,10224.509679426243,1,0,0,0,0,0,0,1,0
146,Treats ‘N Beans,9.0,1781.6087430550324,1,1,0,0,1,0,0,0,0
147,Do-Rite Donuts & Chicken,9.0,4832.0145576226805,1,1,0,0,0,0,0,0,0
148,Tacos El Comal,10.0,4055.5166733536444,0,0,0,0,0,0,0,0,0
149,Sandra's Kitchen Indian Cuisine,10.0,1574.472803902913,1,1,0,0,0,0,0,0,0
150,Teppan BBQ,3.0,4936.310754965358,1,1,0,0,0,0,0,0,0
151,El Ceibeño,5.0,8494.388651714162,1,0,0,0,0,0,0,0,0
152,1928 Beacon Hill,7.0,1140.692536708278,0,0,1,0,0,0,0,0,0
153,Ava's Taste Of The Caribbean,9.0,9100.656940521754,1,1,0,0,0,0,0,0,0
154,Taco Maya,8.0,5630.755158624576,1,1,0,0,0,0,0,0,0
155,Woodfire Kitchen,9.0,32109.927481252817,0,0,0,0,0,0,0,1,0
156,Pozzo Vivo,10.0,6273.830848057824,0,0,0,0,0,0,0,0,0
157,The Chicken Lab,9.0,3628.3656656572048,1,1,0,0,0,0,0,0,0
158,Hardena/Waroeng Surabaya Restaurant,9.0,9386.702495305095,1,1,0,0,0,0,0,0,0
159,Shokolad,9.0,1468.294425528833,1,0,0,1,0,0,0,0,0
160,Inca Chicken,9.0,4261.806094939612,1,1,0,0,0,0,0,0,0
161,Hippo Kitchen,8.0,9970.709632518065,1,1,0,0,0,0,0,0,0
162,CH'I,8.0,9701.045211890316,1,0,0,0,0,1,0,0,0
163,Koibito Sushi & Teriyaki,7.0,725.5128763894147,1,1,0,0,0,0,0,0,0
